FødevareNavn;FoodName;FoodID;TaxonomicName;NCBI;FoodEx2Code;FoodEx2Description;FoodOntology;LangualCode;EurofirFoodClassificationCode;Nøglehulsmærket;FoodGroupID;FødevareGruppe;FoodGroup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordbær, rå;Strawberry, raw;1;Fragaria x ananassa (Duchesne);3747;A01EA#F20.A07QT;Strawberries, PART-CONSUMED-ANALYSED = W/o caps / crown;FOODON_03301722;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1393,C0167,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Æble, uspec., råt;Apple, raw, all varieties;2;Malus domestica (Borkhausen, 1803);3.750;A01DJ#F20.A07RH$F20.A07QH$F26.A07XD;Apples, PART-CONSUMED-ANALYSED = W/o core, PART-CONSUMED-ANALYSED = W/o stem, GENERIC-TERM = Unspecified;FOODON_03301710;A0143,A0455,A0629,A0669,A0707,A0732,A0833,B1245,C0140,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;49;Kernefrugt;Pome fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banan, rå;Banana, raw;3;Musa acuminata var. cavendish (Colla, 1820);214697;A0DQM#F20.A07QF;Common banana - acuminata cultivars, PART-CONSUMED-ANALYSED = W/o peel;FOODON_03311513;A0143,A0455,A0629,A0673,A0707,A0732,A0833,B1266,C0137,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;52;Sydfrugt;Tropical or subtropical fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kartoffel, uspec., rå;Potato, raw;4;Solanum tuberosum (Linnaeus, 1753);4113;A00ZT#F20.A07QF;Potatoes, PART-CONSUMED-ANALYSED = W/o peel;FOODON_03301449;A0152,A0455,A0629,A0650,A0706,A0731,A0829,B1218,C0239,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0829;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sødmælk, konventionel (ikke-økologisk);Milk, whole, konventional (not organic), 3.5 % fat;6;Bos taurus (Linnaeus, 1758);9913;A02LY#F28.A07HV$F28.A07LJ$F21.A0C6Y$F07.A06ZY;Cow milk, whole, PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, PRODUCTION-METHOD = Conventional (non-organic) production, FAT-CONTENT = 3.5 % fat;FOODON_03310780;A0148,A0452,A0626,A0719,A0724,A0740,A0780,B1201,C0235,E0123,F0018,G0003,H0306,J0131,J0135,K0003,M0142,N0017,P0024,Z0179;A0780;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Persille, rå;Parsley, raw;8;Petroselinum crispum var. crispum (Miller, 1866);4043;A00YE#F20.A07RP;Parsley, PART-CONSUMED-ANALYSED = W/o roots;FOODON_00003644;A0113,A0455,A0629,A0653,A0705,A0731,A0857,B1550,C0144,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0857;1;44;Krydderurter;Herbs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pære, rå;Pear, raw;9;Pyrus communis (Linnaeus, 1753);23211;A01DP#F20.A07RH$F20.A07QH;Pears, PART-CONSUMED-ANALYSED = W/o core, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03301724;A0143,A0455,A0629,A0669,A0707,A0732,A0833,B1344,C0140,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;49;Kernefrugt;Pome fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rabarber, rå;Rhubarb, raw;10;Rheum rhabarbarum (Linnaeus, 1753);3621;A00SD;Rhubarbs;FOODON_03309858;A0152,A0455,A0629,A0650,A0705,A0731,A0833,B1364,C0101,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solbær, rå;Currant, black, raw;11;Ribes nigrum (Linnaeus, 1753);78511;A01FN#F20.A07QH;Blackcurrants, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03311604;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1192,C0167,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yoghurt naturel, sødmælk;Yogurt plain, whole milk;12;Bos taurus (Linnaeus, 1758);9913;A02NG#F28.A07HV$F28.A07LJ$F07.A06ZY;Yoghurt, cow milk, plain, PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, FAT-CONTENT = 3.5 % fat;FOODON_03301502;A0148,A0452,A0626,A0721,A0724,A0740,A0783,B1201,C0235,E0103,F0018,G0003,H0107,J0131,J0135,K0003,M0142,N0017,P0024,Z0179;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladselleri, rå;Celery, raw;13;Apium graveolens var. dulce (Linnaeus, 1753);117781;A00RY;Celeries;FOODON_03301727;A0152,A0455,A0629,A0682,A0705,A0731,A0826,B1282,C0144,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blomkål, uspecificeret, rå;Cauliflower, all varieties, raw;14;Brassica oleracea var. botrytis (Linnaeus, 1753);3715;A00FR#F20.A07RK$F20.A07RP;Cauliflowers, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots;FOODON_00003410;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B1094,C0237,E0150,F0003,G0003,H0003,J0001,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broccoli, rå;Broccoli, raw;17;Brassica oleracea  var. italica (Linnaeus, 1753);36774;A00FN#F20.A07RK$F20.A07RP;Broccoli, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03301713;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B1443,C0237,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voksbønner, rå;Beans, wax, raw;20;Phaseolus vulgaris (Linnaeus, 1753);3885;A00PJ#F20.A07QH;Lima beans (with pods), PART-CONSUMED-ANALYSED = W/o stem;FOODON_00003011;A0152,A0455,A0629,A0650,A0704,A0730,A0831,B1351,C0169,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0831;1;171;Friske bælgplanter;Fresh legumes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
