ParantFoodGroupID;ParantFoodGroupNavn;ParantFoodGroupName;FoodGroupID;GroupNameDK;GroupNameUK;Hieraky
1;LST-GRUPPER;DANSDA-GROUPS;1;LST-GRUPPER;DANSDA-GROUPS;1
1;LST-GRUPPER;DANSDA-GROUPS;2;Konsummælk og mælkekonserves;Milk and milk preserves;2
1;LST-GRUPPER;DANSDA-GROUPS;9;Ost og osteprodukter;Cheese and cheese products;2
1;LST-GRUPPER;DANSDA-GROUPS;18;Is ;Ice cream ;2
1;LST-GRUPPER;DANSDA-GROUPS;26;Korn og stivelsesprodukter;Cereals and starch products;2
1;LST-GRUPPER;DANSDA-GROUPS;37;Grøntsager og grøntsagsprodukter;Vegetables and vegetable products;2
1;LST-GRUPPER;DANSDA-GROUPS;47;Frugt, bær og produkter heraf;Fruit, berries and their products;2
1;LST-GRUPPER;DANSDA-GROUPS;56;Kød og kødprodukter;Meat and meat products;2
1;LST-GRUPPER;DANSDA-GROUPS;68;Fisk, vandlevende dyr og produkter heraf;Fish, quatic animals and their products;2
1;LST-GRUPPER;DANSDA-GROUPS;80;Fjerkræ;Poultry;2
1;LST-GRUPPER;DANSDA-GROUPS;86;Æg og æggeprodukter;Eggs and egg products;2
1;LST-GRUPPER;DANSDA-GROUPS;91;Fedtstoffer og fedtstofprodukter;Fats and fatty products;2
1;LST-GRUPPER;DANSDA-GROUPS;100;Sukker, honning og sukkervarer;Sugar, honey and sugar confectionery;2
1;LST-GRUPPER;DANSDA-GROUPS;105;Drikkevarer;Beverages;2
1;LST-GRUPPER;DANSDA-GROUPS;118;Krydderier, ekstrakter o.l.;Spices and extracts etc.;2
1;LST-GRUPPER;DANSDA-GROUPS;126;Færdigretter, fastfood og sammensatte fødevarer; Ready meals, fastfood and composite foods;2
1;LST-GRUPPER;DANSDA-GROUPS;134;Fødevarer til særlig ernæring;Foods for particular nutritional uses;2
1;LST-GRUPPER;DANSDA-GROUPS;142;Andre fødevarer;Other foods;2
1;LST-GRUPPER;DANSDA-GROUPS;167;Alternativer til animalske fødevarer;Substitutes for animal products;2
1;LST-GRUPPER;DANSDA-GROUPS;170;Bælgplanter og produkter af bælgplanter;Legumes and legume products;2
1;LST-GRUPPER;DANSDA-GROUPS;176;Nødder og fedtrige frø;Nuts and high-fat seeds;2
2;Konsummælk og mælkekonserves;Milk and milk preserves;4;Usyrnede mælkeprodukter;Unfermented milk products;3
2;Konsummælk og mælkekonserves;Milk and milk preserves;5;Syrnede mælkeprodukter;Fermented milk products;3
2;Konsummælk og mælkekonserves;Milk and milk preserves;8;Mælkekonserves og andre mælkeprodukter;Preserved milk and other milk products;3
9;Ost og osteprodukter;Cheese and cheese products;12;Blød surmælksost;Soft sour milk cheese;3
9;Ost og osteprodukter;Cheese and cheese products;13;Fast løbeost;Firm rennet cheese;3
9;Ost og osteprodukter;Cheese and cheese products;14;Blød løbeost;Soft rennet cheese;3
9;Ost og osteprodukter;Cheese and cheese products;15;Halvfast løbeost;Semi-firm rennet cheese;3
9;Ost og osteprodukter;Cheese and cheese products;16;Valleost;Whey cheese;3
9;Ost og osteprodukter;Cheese and cheese products;17;Smelteost;Processed cheese;3
18;Is ;Ice cream ;21;Fløde- og mælkeis;Dairy ice cream;3
18;Is ;Ice cream ;23;Sorbet og limonadeis;Sorbet and ice lolly;3
26;Korn og stivelsesprodukter;Cereals and starch products;28;Korn og gryn;Grain and groats;3
26;Korn og stivelsesprodukter;Cereals and starch products;30;Mel og klid;Flour and bran;3
26;Korn og stivelsesprodukter;Cereals and starch products;31;Brød;Bread;3
26;Korn og stivelsesprodukter;Cereals and starch products;34;Morgenprodukter;Breakfast products;3
