ParameterNavn;ParameterName;Unit;SortKey;ParameterID;ParameterGroupID;ParameterGruppeNavn;ParameterGroupName;EurofirComponentID;EurofirUnitID;EurofirMatrixUnitID;EFSA_PARAM_Code;EFSA_PARAM_name;PubChem_CID;KEGG;ChEBI;ChEMBL;HMDB;CAS_Nr;SMILES;Formula;MolWeight;Density;cLogP
Energi (kJ);Energy (kJ);kJ/100g;1010;137;1;Makronæringstoffer m.m.;Macro nutrients etc.;ENERC;kJ;W;RF-00000080-NTR;"energy, total metabolisable; calculated from energy-producing food components";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Energi, deklaration (kJ);Energy, labelling (kJ);kJ/100g;1020;316;1;Makronæringstoffer m.m.;Macro nutrients etc.;ENERC;kJ;W;RF-00000080-NTR;"energy, total metabolisable; calculated from energy-producing food components";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Energi (kcal);Energy (kcal);kcal/100 g;1030;356;1;Makronæringstoffer m.m.;Macro nutrients etc.;ENERC;kcal;W;RF-00000080-NTR;"energy, total metabolisable; calculated from energy-producing food components";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Energi, deklaration (kcal);Energy, labelling (kcal);kcal/100 g;1040;359;1;Makronæringstoffer m.m.;Macro nutrients etc.;ENERC;kcal;W;RF-00000080-NTR;"energy, total metabolisable; calculated from energy-producing food components";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Protein;Protein;g/100g;1110;218;1;Makronæringstoffer m.m.;Macro nutrients etc.;PROT;g;W;RF-00000374-NTR;protein, total;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Protein fra Aminosyrer;Protein from Amino Acids;g/100g;1120;421;1;Makronæringstoffer m.m.;Macro nutrients etc.;PROT;g;W;RF-00000374-NTR;protein, total;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Protein, deklaration;Protein, labeling;g/100g;1130;317;1;Makronæringstoffer m.m.;Macro nutrients etc.;PROT;g;W;RF-00000374-NTR;protein, total;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kulhydrat difference;Carbohydrate by difference;g/100g;1210;170;1;Makronæringstoffer m.m.;Macro nutrients etc.;CHOT;g;W;RF-00000043-NTR;carbohydrate, total;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Tilgængelig kulhydrat;Available carbohydrates;g/100g;1220;172;1;Makronæringstoffer m.m.;Macro nutrients etc.;CHO;g;W;RF-00000042-NTR;carbohydrate;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Tilgængelig kulhydrat, deklaration;Available carbohydrate, labelling;g/100g;1230;318;1;Makronæringstoffer m.m.;Macro nutrients etc.;CHO;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
