SourceID;EurofirRefType;URL;Language;TitleOriginal;TitelDansk;TitleEnglish;Publisher;ReportNumber;ISBN;ISSN;PublicationName;Year;Volume;Issue;PageStart;PageEnd
1001;E;NULL;NULL;Anslået værdi på basis af forskellige kilder eller ved skøn fra værdi på nært stående produkt;Anslået værdi på basis af forskellige kilder eller ved skøn fra værdi på nært stående produkt;Value estimated on the basis of various sources or by estimates from the value of a related product;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1002;E;NULL;NULL;Anslået værdi på grundlag af data for lignende produkt;Anslået værdi på grundlag af data for lignende produkt;Estimated value based on data for similar product;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1003;E;NULL;NULL;Værdi beregnet ved omregning af forskellige analysedata;Værdi beregnet ved omregning af forskellige analysedata;Value calculated by converting various analytical data;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1004;E;NULL;NULL;EDB-beregning på basis af opskrift;EDB-beregning på basis af opskrift;Computer calculation based on recipe;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1005;E;NULL;NULL;EDB-beregning på basis af opskrift. Manglende oplysninger for enkelte ingredienser.;EDB-beregning på basis af opskrift. Manglende oplysninger for enkelte ingredienser.;Computer calculation based on recipe. Missing information for some ingredients.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1006;P;NULL;Danish;Interne data, ikke publiceret;Interne data, ikke publiceret;Internal data, not published;Levnedsmiddelstyrelsen;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1011;R;NULL;Danish;Overvågningssystem for næringsstoffer. Brød og cerealier, 3. runde;Overvågningssystem for næringsstoffer. Brød og cerealier, 3. runde;Food Monitoring System for Nutrients. Bread and cereals, 3. cycle;Levnedsmiddelstyrelsen;"Rapport IL 1996.3; Projekt 94521-01";NULL;1396-2132;NULL;1996;NULL;NULL;NULL;NULL
1012;R;NULL;Danish;Undersøgelse af nitrat i frossen spinat;Undersøgelse af nitrat i frossen spinat;Investigation of nitrate in frozen spinach;Levnedsmiddelstyrelsen;"Intern rapport ILF 1995; Projekt 94530-02";NULL;1396-2132;NULL;1995;NULL;NULL;NULL;NULL
1013;R;NULL;Danish;Flødeskumskager;Flødeskumskager;Cream foam cakes;Levnedsmiddelstyrelsen;"Intern rapport CLA 1992.8; Projekt 904603";NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL
1015;R;NULL;Danish;Tabelværdier for Calcium og Phosphor i danske levnedsmidler;Tabelværdier for Calcium og Phosphor i danske levnedsmidler;Table values ;Levnedsmiddelstyrelsen;"Intern rapport IL; Projekt 94441-01";NULL;1396-2132;NULL;1996;NULL;NULL;NULL;NULL
1017;AJ;NULL;Danish;Statens vitamin-laboratoriums undersøgelser af vitaminindholdet i danske levnedsmidler;Statens vitamin-laboratoriums undersøgelser af vitaminindholdet i danske levnedsmidler;Studies of the vitamin content of Danish foods by The State Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1954;7-May;1-Feb;1;7
1018;AJ;NULL;Danish;Statens vitaminlaboretoriums undersøgelser af nikotinsyreindholdet i danske næringsmidler;Statens vitaminlaboretoriums undersøgelser af nikotinsyreindholdet i danske næringsmidler;Studies of the nicotinic acid content of Danish foods by The State Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1954;7-May;10-Dec;41;46
1019;AJ;NULL;Danish;Statens Vitaminlaboratoriums undersøgelser af B1-vitaminindholdet i danske næringsmidler;Statens Vitaminlaboratoriums undersøgelser af B1-vitaminindholdet i danske næringsmidler;Studies of the vitamin B1 content in Danish foods by The Danish Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1955;8-May;3-Apr;9;16
1020;AJ;NULL;Danish;Statens Vitaminlaboratoriums undersøgelser af inholdet af A-vitaminaktivt caroten i danske vegetabilske næringsmidler;Statens Vitaminlaboratoriums undersøgelser af inholdet af A-vitaminaktivt caroten i danske vegetabilske næringsmidler;Studies of the content of vitamin A-active carotene in Danish vegetable foods by The Danish Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1956;9-May;2-Mar;5;9
1021;AJ;NULL;Danish;Statens Vitaminlaboratoriums undersøgelser over danske mejeriprodukters indhold af A-vitamin og caroten;Statens Vitaminlaboratoriums undersøgelser over danske mejeriprodukters indhold af A-vitamin og caroten;Studies on the vitamin A and carotene content in Danish dairy products by The Danish Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1956;9-May;10;37;40
1022;AJ;NULL;Danish;Statens vitamin-laboretoriums undersøgelser af B2-vitaminindholdet i danske næringsmidler;Statens vitamin-laboretoriums undersøgelser af B2-vitaminindholdet i danske næringsmidler;Studies of the vitamin B2 content in Danish foods by The Danish Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1957;10-May;3-Apr;9;16
1024;AJ;NULL;Danish;Statens vitamin-laboratoriums undersøgelser over A-vitaminindholdet i danske animalske næringsmidler;Statens vitamin-laboratoriums undersøgelser over A-vitaminindholdet i danske animalske næringsmidler;Studies on the vitamin A content in Danish food of animal origin by The State Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1958;11-May;3-Apr;9;12
1025;AJ;NULL;Danish;Statens vitamin-laboratoriums undersøgelser af B6-vitaminindholdet i danske næringsmidler;Statens vitamin-laboratoriums undersøgelser af B6-vitaminindholdet i danske næringsmidler;Studies of the B6 vitamin content in Danish foods by The State Vitamin Laboratory;Statens Husholdningsråd;NULL;NULL;NULL;Statens Husholdningsråds Faglige Meddelelser;1959;12-May;1-Feb;1;7
1027;AJ;NULL;Danish;Statens Levnedsmiddelinstituts undersøgelser over tryptofanindholdet og niacinækvivalentindholdet i danske næringsmidler;Statens Levnedsmiddelinstituts undersøgelser over tryptofanindholdet og niacinækvivalentindholdet i danske næringsmidler;Studies on the tryptophan content and the niacin equivalent content in Danish foods by The National Food Institute;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1971;11-Jan;2;29;35
1029;R;NULL;Danish;Næringsstofindhold i hakket kød;Næringsstofindhold i hakket kød;Nutrients in minced meat;Levnedsmiddelstyrelsen;"Rapport IL 1996.2; Projekt 94641-01";NULL;1396-2132;NULL;1996;NULL;NULL;NULL;NULL
1030;AJ;NULL;Danish;Danske levnedsmidlers indhold af calcium;Danske levnedsmidlers indhold af calcium;Calcium content of Danish food;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1973;13;4;6;13
1031;AJ;NULL;Danish;Næringsværdien af dybfrost-færdigretter;Næringsværdien af dybfrost-færdigretter;The nutritional value of deep-frozen ready meals;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1975;15;3;10;18
1032;AJ;NULL;Danish;Næringsværdien af danske slagterigrise;Næringsværdien af danske slagterigrise;The nutritional value of Danish slaughter pigs;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1976;16;4;16;20
1033;AJ;NULL;Danish;A-vitamin- og carotenindholdet i æg, samt tab af A-vitamin ved tilberedning af æg;A-vitamin- og carotenindholdet i æg, samt tab af A-vitamin ved tilberedning af æg;Vitamin A and carotene content in eggs, as well as loss of vitamin A during egg preparation;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1976;16;2;19;20
1034;AJ;NULL;Danish;Danske levnedsmidlers indhold af E-vitamin, samt tilnærmet beregning af E-vitamintilførslen med den danske kost;Danske levnedsmidlers indhold af E-vitamin, samt tilnærmet beregning af E-vitamintilførslen med den danske kost;Vitamin E content of Danish foods, as well as approximate calculation of the vitamin E supply with the Danish diet;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1975;15;1;21;31
1035;AJ;NULL;Danish;Laktoseindholdet i den danske kost;Laktoseindholdet i den danske kost;The lactose content in the Danish diet;Den Almindelige Danske Lægeforening;NULL;NULL;0041-5782;Ugeskrift for Læger;1975;137;36;2068;2072
1039;P;NULL;Danish;Fedtsyreindholdet i danske grønsager, frugter og kartofler og kartoffelprodukter;Fedtsyreindholdet i danske grønsager, frugter og kartofler og kartoffelprodukter;The fatty acid content of Danish vegetables, fruits and potatoes and potato products;Statens Levnedsmiddelinstitut;NULL;NULL;NULL;NULL;1970;NULL;NULL;NULL;NULL
1040;P;NULL;Danish;Præliminær tabel over mikrobiologiske bestemmelser af aminosyreindholdet i danske næringsmidler;Præliminær tabel over mikrobiologiske bestemmelser af aminosyreindholdet i danske næringsmidler;Preliminary table of the amino acid content of Danish foods by microbiological determination;Statens Levnedsmiddelinstitut;NULL;NULL;NULL;NULL;1971;NULL;NULL;NULL;NULL
1041;AJ;NULL;Danish;Jod-indholdet i fisk og skaldyr på det danske marked;Jod-indholdet i fisk og skaldyr på det danske marked;The iodine content in seafood on the Danish market;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1978;18;3;12;14
1042;AJ;NULL;Danish;Jodindholdet i danske mejeriprodukter og æg;Jodindholdet i danske mejeriprodukter og æg;The iodine content of Danish dairy products and eggs;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1978;18;7;32;36
1043;AJ;NULL;Danish;Jernindholdet i danske levnedsmidler;Jernindholdet i danske levnedsmidler;The iron content of Danish foods;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1978;18;7;23;31
1044;AJ;NULL;Danish;Statens Levnedsmiddelinstituts undersøgelser over B12-vitaminindholdet i danske levnedsmidler;Statens Levnedsmiddelinstituts undersøgelser over B12-vitaminindholdet i danske levnedsmidler;Studies on the vitamin B12 content in Danish foods by The National Food Institute;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1979;19;5;18;20
