;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
;;;→ParameterName;Energy (kJ);Energy, labelling (kJ);Energy (kcal);Energy, labelling (kcal);Protein;Protein from Amino Acids;Protein, labeling;Carbohydrate by difference;Available carbohydrates;Available carbohydrate, labelling;Dietary fibre;Fat;Alcohol;Salt labelling;Ash;Dry matter;Water;Vitamin A;Retinol;beta-Carotene;cis-beta-Caroten;Vitamin D;Vitamin D3;Vitamin D2;25-hydroxy vitamin D3;25-hydroxy Vitamin D2;Vitamin E;alpha-Tocopherol;beta-Tocopherol;gamma-Tocopherol;delta-Tocopherol;alpha-Tocotrienol;Vitamin K1;Menaquinone 4;Menaquinone 5;Menaquinone 6;Menaquinone 7;Menaquinone 8;Menaquinone 9;Menaquinone 10;Vitamin K2;Vitamin K;Thiamin (Vitamin B1);Thiamine;Riboflavin (Vitamin B2);Niacin equivalent;Niacin;Vitamin B6;Pantothenic acid;Biotin;Folate;Folate, free;Vitamin B12;Vitamin C;Ascorbic acid;Dehydroascorbic acid;Sodium;Potassium;Calcium;Magnesium;Rubidium;Iron;Copper;Zinc;Manganese;Chromium;Molybdenum;Cobalt;Selenium;Aluminum;Silicon;Boron;Phosphorus;Fluorine;Chloride;Bromine;Iodine;Sulfur;Nickel;Mercury;Arsenic;Cadmium;Lead;Tin;Sum minerals;Fructose;Galactose;Glucose;Sum monosaccharides;Lactose;Maltose;Sucrose;Sum disaccharides;Raffinose;Sum sugars;Added Sugar;Free Sugars;Sorbitol;Sum sugar alcohols;Starch/Glycogen;Cellulose;Lignin;Insoluble dietary fibers;High molecular weight soluble dietary fibre ;Low molecular weight soluble dietary fibre ;Crude fibre;Neutral detergent fibre;L-lactic acid;D-lactic acid;Lactic acid;Citric acid;Oxalic acid;Malic acid;Propionic acid;Benzoic acid;Sum organic acids;C4:0;C6:0;C8:0;C10:0;C12:0;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;C12:1,n-1;C14:1,n-5;C15:1,n-5;C16:1,n-7;C17:1,n-7;C18:1,n-7;C18:1,n-9;C18:1,n-12;C20:1,n-9;C20:1,n-11;C20:1,n-15;C22:1,n-9;C22:1,n-11;C24:1,n-9;C14:1,n-5,trans;C16:1,n-7,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,n-6;C18:2,conjugated;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:3,n-3;C20:3,n-6;C20:4,n-3;C20:4,n-6;C20:5,n-3;C21:5,n-3;C22:2,n-6;C22:3,n-3;C22:4,n-6;C22:5,n-3;C22:5,n-6;C22:6,n-3;C18:2,trans;C18:3,trans;Other fatty acids;Sum saturated fatty acids;Sum monounsaturated fatty acids;Sum polyunsaturated fatty acids;Sum trans fatty acids;Sum fatty acids below the detection limit;Sum fatty acids;Sum n-3 fatty acids;Sum n-6 fatty acids;Cholesterol;Nitrogen;Isoleucine;Leucine;Lysine;Methionine;Cystine;Phenylalanine;Tyrosine;Threonine;Tryptophan;Valine;Arginine;Histidine;Alanine;Aspartic acid;Glutamic acid;Glycine;Proline;Serine;Hydroxyproline;Ornithine;Sum essential amino acids;Sum non-essential amino acids;Histamine;Serotonin;Choline;Tyramine;Phenylethylamine;Putrescine;Cadaverine;Spermine;Spermidine;Sum biogenic amines;Waste;Nitrogen conversion factor;Fatty acid conversion factor;Density;pH;;;
↓FødevareNavn;;;→ParameterNavn;Energi (kJ);Energi, deklaration (kJ);Energi (kcal);Energi, deklaration (kcal);Protein;Protein fra Aminosyrer;Protein, deklaration;Kulhydrat difference;Tilgængelig kulhydrat;Tilgængelig kulhydrat, deklaration;Kostfibre;Fedt;Alkohol;Salt deklaration;Aske;Tørstof;Vand;A-vitamin;Retinol;beta-Caroten;cis-beta-Carotene;D-vitamin;D3-vitamin;D2-vitamin;25-hydroxy D3-vitamin;25-hydroxy D2-vitamin;E-vitamin;alfa-Tokoferol;beta-Tokoferol;gamma-Tokoferol;delta-Tokoferol;alfa-Tokotrienol;K1-vitamin;Menaquinon 4;Menaquinon 5;Menaquinon 6;Menaquinon 7;Menaquinon 8;Menaquinon 9;Menaquinon 10;K2-vitamin;K-vitamin;Thiamin (B1-vitamin);Thiamin;Riboflavin (B2-vitamin);Niacinækvivalent;Niacin;B6-vitamin;Pantotensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;Ascorbinsyre;Dehydroascorbinsyre;Natrium;Kalium;Calcium;Magnesium;Rubidium;Jern;Kobber;Zink;Mangan;Krom;Molybdæn;Cobolt;Selen;Aluminium;Silicium;Bor;Fosfor;Fluor;Chlorid;Brom;Jod;Svovl;Nikkel;Kviksølv;Arsen;Cadmium;Bly;Tin;Sum mineraler;Fruktose;Galaktose;Glukose;Sum monosakkarider;Laktose;Maltose;Sakkarose;Sum disakkarider;Raffinose;Sum sukkerarter;Tilsat Sukker;Frie sukkerarter;Sorbitol;Sum sukkeralkoholer;Stivelse/Glykogen;Cellulose;Lignin;Uopløselige kostfibre;Høj molekylevægt opløselige kostfibre;Lav molekylevægt opløselige kostfibre;Crude fibre;Neutral detergent fibre;L-mælkesyre;D-mælkesyre;Mælkesyre;Citronsyre;Oxalsyre;Æblesyre;Propionsyre;Benzosyre;Sum organiske syrer;C4:0;C6:0;C8:0;C10:0;C12:0;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;C12:1,n-1;C14:1,n-5;C15:1,n-5;C16:1,n-7;C17:1,n-7;C18:1,n-7;C18:1,n-9;C18:1,n-12;C20:1,n-9;C20:1,n-11;C20:1,n-15;C22:1,n-9;C22:1,n-11;C24:1,n-9;C14:1,n-5,trans;C16:1,n-7,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,n-6;C18:2,konjugeret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:3,n-3;C20:3,n-6;C20:4,n-3;C20:4,n-6;C20:5,n-3;C21:5,n-3;C22:2,n-6;C22:3,n-3;C22:4,n-6;C22:5,n-3;C22:5,n-6;C22:6,n-3;C18:2,trans;C18:3,trans;Andre fedtsyrer;Sum mættede fedtsyrer;Sum enkeltumættede fedtsyrer;Sum flerumættede fedtsyrer;Sum transfedtsyrer;Sum fedtsyrer under detektionsgrænsen;Sum fedtsyrer;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Kolesterol;Nitrogen;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;Hydroxyprolin;Ornitin;Sum essentielle Aminosyrer;Sum ikke essentielle aminosyrer ;Histamin;Serotonin;Cholin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Sum biogene aminer;Svind;Nitrogen-til-protein faktor;Fedtsyrekonverteringsfaktor;Massefylde;pH;;;
Klipfisk, rå;Bacalao, cod, split, salted and dried, raw;948;948;421;421;99;99;24,3;;24,3;0,0;0,0;0,0;0,0;0,2;0,0;5,1;18,2;42,7;57,3;0,0;0,0;0,0;;0,00;0,00;;;;0,50;0,50;;;;;0,00;;;;;;;;;0,0;0,08;;0,09;5,72;2,00;0,20;0,34;0,00;0;0;0,85;0,00;0,00;;2033,0;78,0;70,0;12,0;;0,5;0,0;0,4;;;;;78,0;;;;300;;;;230,00;;;;;;;;2494;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,03;0,00;0,01;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;0,01;;;0,00;;0,00;0,00;0,00;;;;;;0,00;;0,00;;0,00;0,00;0,00;0,00;;;0,02;;;;;0,00;;0,05;;;0,01;0,04;0,01;0,08;;;0,14;0,08;0,00;82;3,92;1215;1803;2195;745;169;902;941;980;223;1294;1490;510;1450;2587;3450;1411;823;;;;9867;12321;;;;;;;;;;;25,0;6,25;0,695;;;79;Fiskeprodukter;Fish products
Musling, konserves;Mussels, in water, canned;635;635;433;414;103;98;17,8;15,4;17,8;1,1;1,1;0,0;0,0;3,0;0,0;2,2;3,0;24,9;75,1;21,1;21,1;0,0;;0,00;0,00;;;;3,50;3,50;;;;;0,00;;;;;;;;;0,0;0,01;;0,11;4,80;1,00;0,08;;;27;;10,20;0,00;0,00;;880,0;98,0;57,0;42,0;65,0;8,4;0,2;3,6;0,7;31,6;30,0;10;57,2;6,00;32,00;260,00;189;100,0;1450,00;3300,00;197,33;;83,50;0,70;158,50;22,70;44,20;;2724;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;0,11;;0,33;;0,11;0,00;;0,00;;0,00;;0,00;;0,22;;0,11;0,00;;;0,00;;0,00;0,00;0,00;;;;;;0,00;;0,00;;0,11;0,00;0,00;;;;0,44;;;;;0,00;;0,44;;;0,00;0,56;0,33;1,00;;;1,89;1,00;0,00;38;2,85;856;1370;1427;485;285;742;742;827;228;1113;1341;428;999;1997;2511;913;742;913;;;7476;10443;;;107;;;;;;;;0,0;6,25;0,630;;;77;Bløddyr og produkter heraf;Mollusks and their products
Kikærter, lyse, kogte, konserves;Chickpeas, boiled, canned;1812;1812;474;410;113;98;6,2;6,2;7,2;20,8;13,0;8,2;7,8;2,3;0,0;0,4;0,9;30,2;69,8;1,2;0,0;7,0;;0,00;;;;;0,99;0,99;0,00;4,20;0,00;;3,28;;;;;;;;;3,3;0,04;;0,05;1,52;0,18;0,05;0,12;5,00;29;;;5,66;;;155,0;155,0;43,0;32,0;;1,3;0,3;1,3;0,8;0,0;115,0;;5,0;;;;90;;;;0,00;;16,00;0,00;0,70;0,00;0,45;;476;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;8,20;;;5,41;1,10;1,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,16;321;584;515;118;85;451;235;290;81;354;654;197;330;862;1125;305;248;413;0;0;2909;4255;;;42,8;;;;;;;;0,0;5,4;;;;174;Konserves af bælgplanter;Canned legumes
Bækforel, rå;Charr, raw;694;694;414;414;98;98;18,5;;18,5;0,0;0,0;0,0;0,0;2,7;0,0;0,2;1,2;22,4;77,6;0,0;;0,0;;9,00;9,00;;;;;;;;;;0,00;;;;;;;;;0,0;0,16;;0,09;;;0,37;;;;;;0,00;0,00;;80,0;370,0;14,0;30,0;;0,8;;0,7;;1,3;;;16,0;;;;260;;;;20,00;;0,00;2,70;108,00;0,00;0,00;;755;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,39;3,07;2,47;;;2,38;1,60;0,50;48;3,28;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;50,0;6,25;0,880;;;72;Mellemfed fisk;Somewhat oily fish
Peberrod, rå;Horse-radish, raw;496;496;438;404;104;96;7,7;4,3;7,7;20,5;13,0;11,0;7,5;0,7;0,0;0,0;1,8;30,7;69,3;3,3;0,0;20,0;;0,00;0,00;;;;0,00;0,00;;;;;;;;;;;;;;;0,14;;0,11;1,26;0,60;0,18;;;;;0,00;152,00;152,00;;6,0;587,0;93,7;25,0;;1,3;0,2;1,4;0,5;3,0;0,0;;0,2;;;;81;;;;0,90;;30,00;;;;;;794;;;;;;;;;;7,30;0,00;0,00;;;3,70;;;;;;;;;;;;;;;;;;;;;;;;;0,10;;0,01;;;;;;;;;0,00;;;0,06;;;;;;;;;;;;;0,12;;0,27;;;;;;;;;;;;;;;;;;;0,11;0,07;0,38;;;0,56;0,27;0,12;0;1,23;148;197;209;38;9;123;83;148;39;222;1639;136;122;370;616;136;505;185;;;1260;3663;;;6,5;;;;;;;;26,0;6,25;0,800;;;39;Rod- og knoldgrøntsager;Root and tuber vegetables
Hvidvin, sød;Wine, white, sweet;232;232;400;400;96;96;0,2;;0,2;5,9;5,9;5,9;0,0;0,0;10,2;0,0;0,3;16,6;83,4;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;;;;;;;;;;;0,00;;0,01;0,08;0,08;0,01;0,03;;0;0;0,00;0,00;0,00;;13,0;110,0;14,0;11,0;;0,6;0,0;0,1;0,0;4,0;2,0;;0,0;;;;13;;;;35,00;;4,20;0,19;1,10;0,15;5,20;16,00;162;3,00;;2,90;5,90;;;;;;5,90;0,00;5,90;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,03;;;;;;;;;;;;;;;;;;;;;;;0,000;0,003;4,3;0,86;0,1;0,17;0,084;0,01;0,003;;0,0;6,25;0,800;1,016;;113;Vine;Wines
Hakket, med mycoprotein;Mince, with mycoprotein;1785;1785;404;395;97;95;9,9;10,8;14,1;11,8;5,4;0,7;6,5;2,5;0,0;0,1;1,2;25,5;74,5;0,0;;0,0;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,0;0,00;;0,45;4,23;0,69;0,06;1,96;38,90;45;;0,00;;;;34,3;79,3;186,7;42,7;;0,3;0,3;6,2;4,8;0,0;1,6;;4,4;;;;250;;;;0,00;;0,00;0,00;0,00;0,00;;;593;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;0,67;;;5,42;1,04;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,38;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;;0,34;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,31;0,38;1,24;0,00;0,00;1,93;0,34;0,90;0;2,26;607;987;1008;296;170;595;476;662;212;766;834;307;797;1303;1557;569;696;664;0;0;5441;7065;;;;;;;;;;;0,0;4,4;0,772;;;169;Plantebaserede alternativer til kød;Plant-based alternatives to meat
Nyre, gris, rå;Kidney, pig, raw;574;574;412;402;98;95;16,0;12,7;16,0;1,7;1,7;1,1;0,0;3,0;0,0;0,4;1,2;21,9;78,1;151,7;150,0;10,0;;1,00;1,00;;;;0,20;0,20;;;;;0,00;;;;;;;;;0,0;0,29;;1,65;11,96;8,21;0,61;3,20;32,00;42;5;17,00;13,30;13,30;;160,0;244,0;7,0;18,0;;3,3;0,7;2,6;0,2;1,7;70,0;;182,2;;;;238;;;;4,40;;5,02;0,83;3,90;24,32;1,75;;670;;;;;;;;;;0,00;0,00;0,00;;;1,10;;;;;;;;;;;;;;;;;;;;;;;0,02;0,00;0,57;0,00;0,41;;;;;;;;;0,05;0,00;;0,74;;;0,01;;;;;;;;;;0,27;;0,01;;;;0,01;;;0,15;0,00;;;;;0,00;;;;;;1,00;0,80;0,45;;;2,25;0,03;0,42;319;2,56;666;1306;1306;333;182;742;589;666;225;998;947;358;922;1306;1792;973;794;717;;;6600;8220;;;509,1;;;;;;;;12,0;6,25;0,750;;;66;Indmad og andre organer;Offal and other organs
